seed,method,cr,icr,pse,offer_rate,cost,budget_util,overspend,inc_sales,gross_sales
4101,geo,0.137875,0.00825,4.947122976716958,0.044875,670.0,0.9970238095238095,0.0,3314.572394400362,54966.819179598075
4101,linucb,0.13525,0.005625,2.9792646654132264,0.031,672.0,1.0,0.0,2002.0658551576882,53654.31264035543
4101,no_budget,0.2955,0.165875,3.9411379815837453,0.707375,17195.0,25.58779761904762,16523.0,67767.8675933325,119420.11437853055
4101,nonspatial_budget,0.137375,0.00775,4.758049006504264,0.022375,672.0,1.0,0.0,3197.408932370866,54849.65571756857
4101,proposed,0.139875,0.01025,5.926236127794363,0.026375,671.0,0.9985119047619048,0.0,3976.5044417500176,55628.75122694775
4101,static,0.1355,0.005875,3.291967043866345,0.155375,672.0,1.0,0.0,2212.2018534781837,53864.448638675916
4102,geo,0.144125,0.008625,4.878767276079011,0.052875,670.0,0.9970238095238095,0.0,3268.7740749729373,58591.56975109852
4102,linucb,0.142,0.0065,3.8715155217094765,0.034875,672.0,1.0,0.0,2601.658430588768,57924.45410671436
4102,no_budget,0.293125,0.157625,3.7548418901831435,0.80575,16730.0,24.895833333333332,16058.0,62818.50482276399,118141.30049888954
4102,nonspatial_budget,0.143125,0.007625,4.6542496800704125,0.019625,671.0,0.9985119047619048,0.0,3123.0015353272465,58445.79721145283
4102,proposed,0.14425,0.00875,5.180026010301923,0.0165,672.0,1.0,0.0,3480.9774789228923,58803.773155048504
4102,static,0.139625,0.004125,2.287268748706721,0.180375,671.0,0.9985119047619048,0.0,1534.7573303822098,56857.55300650782
4103,geo,0.142625,0.0075,4.455792285236239,0.05725,670.0,0.9970238095238095,0.0,2985.38083110828,55476.03665298677
4103,linucb,0.14075,0.005625,3.128658550955673,0.035375,671.0,0.9985119047619048,0.0,2099.3298876912563,54589.98570956977
4103,no_budget,0.29075,0.155625,3.996719870258432,0.78425,15245.0,22.686011904761905,14573.0,60929.994422089796,113420.65024396793
4103,nonspatial_budget,0.143375,0.00825,4.513220305385751,0.03625,672.0,1.0,0.0,3032.884045219225,55523.539867097745
